quarter,DAP,MAP,DAU,MAU
Q2 2022 Earnings,2.88,3.65,1.97,2.93
Q1 2022 Earnings,2.87,3.64,1.96,2.94
Q4 2021 Earnings,2.82,3.59,1.93,2.91
Q3 2021 Earnings,2.81,3.58,1.93,2.91
Q2 2021 Earnings,2.76,3.51,1.91,2.9
Q1 2021 Earnings,2.72,3.45,1.88,2.85
Q4 2020 Earnings,2.6,3.3,1.84,2.8
Q3 2020 Earnings,2.54,3.21,1.82,2.74
Q2 2020 Earnings,2.47,3.14,1.79,2.7
Q1 2020 Earnings,2.36,2.99,1.73,2.6
Q4 2019 Earnings,2.26,2.89,1.66,2.5
Q3 2019 Earnings,0.0,0.0,1.62,2.45
Q2 2019 Earnings,0.0,0.0,1.59,2.41
Q1 2019 Earnings,0.0,0.0,1.56,2.38
Q4 2018 Earnings,0.0,0.0,1.52,2.32
Q3 2018 Earnings,0.0,0.0,1.49,2.27
Q2 2018 Earnings,0.0,0.0,1.47,2.23
Q1 2018 Earnings,0.0,0.0,1.45,2.2
Q4 2017 Earnings,0.0,0.0,1.4,2.13
Q3 2017 Earnings,0.0,0.0,1.37,2.07
Q2 2017 Earnings,0.0,0.0,1.32,2.01
Q1 2017 Earnings,0.0,0.0,1.28,1.94
Q4 2016 Earnings,0.0,0.0,1.23,1.86
Q3 2016 Earnings,0.0,0.0,1.18,1.79
Q2 2016 Earnings,0.0,0.0,1.13,1.71
