,quarter,MAU,DAU
0,Q1'17,0.0,0.0
1,Q2'17,-0.0030581039755351682,0.009174311926605505
2,Q3'17,0.009174311926605505,0.045871559633027525
3,Q4'17,0.009174311926605505,0.05504587155963303
4,Q1'18,0.027522935779816515,0.10091743119266056
5,Q2'18,0.024464831804281346,0.11926605504587157
6,Q3'18,-0.0030581039755351682,0.13761467889908258
7,Q4'18,-0.01834862385321101,0.1559633027522936
8,Q1'19,0.009174311926605505,0.22935779816513763
9,Q2'19,0.19571865443425077,0.27522935779816515
10,Q3'19,0.22018348623853212,0.3302752293577982
11,Q4'19,0.24464831804281345,0.3944954128440367
